Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Salmon_River_km,Nearest_Salmon_River,River_Zone,Salmon_Index,Trout_Score,Salmon_Distance_Category,Salmon_Pressure,Trout_Pressure
35838,0,69.8227,18.51875,Zone 5: Arctic (69-71°N),Vengsøy,Sporadic (0-2 years),Mid-Fjord,False,91.8,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35877,1,64.971634,11.723933,Zone 3: Mid (63-66°N),Eiterfjorden,Sporadic (0-2 years),Mid-Fjord,False,53.7,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35897,0,60.130184,6.126617,Zone 2: Western (60-63°N),Nye Hessvik,Sporadic (0-2 years),Mid-Fjord,False,54.5,Vosso,Zone 2,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
35957,3,70.67102,24.487232,Zone 5: Arctic (69-71°N),Danielsvika,Occasional (3-5 years),Mid-Fjord,False,56.0,Børselva,Zone 5,75,1,Moderate (50-100km),High Salmon Pressure,Low Sea Trout
35977,1,66.55785,13.526233,Zone 4: Northern (66-69°N),Lian,Sporadic (0-2 years),Inner Fjord,False,35.7,Ranfjorden rivers,Zone 4,80,3,Close to Salmon River (20-50km),High Salmon Pressure,High Sea Trout
35997,3,69.953865,21.88035,Zone 5: Arctic (69-71°N),Kviteberg,Occasional (3-5 years),Mid-Fjord,False,50.9,Altaelva,Zone 5,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36017,2,65.88035,11.93045,Zone 3: Mid (63-66°N),Sørværet,Sporadic (0-2 years),Mid-Fjord,False,58.7,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36037,6,66.1336,12.851983,Zone 4: Northern (66-69°N),Klipen,Recurrent (6-8 years),Inner Fjord,False,40.4,Vefsna,Zone 4,95,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
36077,3,68.93653,16.72465,Zone 4: Northern (66-69°N),Mollvika,Occasional (3-5 years),Inner Fjord,False,71.5,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36099,5,70.91161,25.32495,Zone 5: Arctic (69-71°N),Store Kobbøy,Occasional (3-5 years),Mid-Fjord,False,68.5,Børselva,Zone 5,75,1,Moderate (50-100km),High Salmon Pressure,Low Sea Trout
36100,5,63.494934,8.02235,Zone 3: Mid (63-66°N),Suholmen,Occasional (3-5 years),Mid-Fjord,False,74.6,Surna,Zone 3,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
36117,1,67.528,15.359683,Zone 4: Northern (66-69°N),Matvika,Sporadic (0-2 years),Inner Fjord,False,47.8,Saltdalselva,Zone 4,85,2,Close to Salmon River (20-50km),High Salmon Pressure,Medium Sea Trout
36118,2,68.82377,15.400217,Zone 4: Northern (66-69°N),Bremnesøya,Sporadic (0-2 years),Inner Fjord,False,126.0,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
36137,5,68.85322,17.06575,Zone 4: Northern (66-69°N),Jekteberget,Occasional (3-5 years),Inner Fjord,False,59.9,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36138,3,64.27302,10.246233,Zone 3: Mid (63-66°N),Flatøyfjorden,Occasional (3-5 years),Mid-Fjord,False,65.6,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36177,6,68.91143,16.645132,Zone 4: Northern (66-69°N),Skjellesvika,Recurrent (6-8 years),Inner Fjord,False,75.0,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36178,0,70.046135,21.282034,Zone 5: Arctic (69-71°N),Haukøya Ø,Sporadic (0-2 years),Mid-Fjord,False,75.1,Altaelva,Zone 5,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36217,1,65.74827,12.540533,Zone 3: Mid (63-66°N),Kalvhylla,Sporadic (0-2 years),Mid-Fjord,False,30.8,Vefsna,Zone 4,95,3,Close to Salmon River (20-50km),Very High Salmon Pressure,High Sea Trout
36237,0,69.96655,20.615282,Zone 5: Arctic (69-71°N),Vorterøya,Sporadic (0-2 years),Mid-Fjord,False,79.0,Reisa,Zone 4,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
36257,2,70.10643,19.583866,Zone 5: Arctic (69-71°N),Mjønes,Sporadic (0-2 years),Mid-Fjord,False,111.8,Reisa,Zone 4,80,2,Far from Salmon River (>100km),High Salmon Pressure,Medium Sea Trout
36297,5,61.38997,4.98405,Zone 2: Western (60-63°N),Kjeringeholmen,Occasional (3-5 years),Mid-Fjord,False,43.6,Gaula (Sunnfjord),Zone 2,70,2,Close to Salmon River (20-50km),Moderate Salmon Pressure,Medium Sea Trout
36317,1,65.54905,12.126417,Zone 3: Mid (63-66°N),Varholmen,Sporadic (0-2 years),Mid-Fjord,False,56.7,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36337,6,66.35017,12.469267,Zone 4: Northern (66-69°N),Vardskjæret S,Recurrent (6-8 years),Inner Fjord,False,68.8,Ranfjorden rivers,Zone 4,80,3,Moderate (50-100km),High Salmon Pressure,High Sea Trout
36417,0,70.75667,23.4353,Zone 5: Arctic (69-71°N),Borvika,Sporadic (0-2 years),Mid-Fjord,False,92.2,Børselva,Zone 5,75,1,Moderate (50-100km),High Salmon Pressure,Low Sea Trout
36457,2,65.20317,11.569,Zone 3: Mid (63-66°N),Kvingra,Sporadic (0-2 years),Mid-Fjord,False,78.5,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36497,0,68.47665,16.09135,Zone 4: Northern (66-69°N),Lille Djupfest,Sporadic (0-2 years),Inner Fjord,False,113.6,Målselva,Zone 4,95,3,Far from Salmon River (>100km),Very High Salmon Pressure,High Sea Trout
36517,6,66.5896,12.84965,Zone 4: Northern (66-69°N),Selsøyvær,Recurrent (6-8 years),Inner Fjord,False,60.6,Ranfjorden rivers,Zone 4,80,3,Moderate (50-100km),High Salmon Pressure,High Sea Trout
36617,2,64.953316,11.195717,Zone 3: Mid (63-66°N),Harbakholmen,Sporadic (0-2 years),Mid-Fjord,False,52.6,Namsen,Zone 4,100,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36717,5,69.468414,17.606182,Zone 5: Arctic (69-71°N),Vindhammarneset,Occasional (3-5 years),Inner Fjord,False,63.1,Målselva,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36737,3,67.4421,14.71295,Zone 4: Northern (66-69°N),Hallsteinhamn I,Occasional (3-5 years),Inner Fjord,False,48.3,Saltdalselva,Zone 4,85,2,Close to Salmon River (20-50km),High Salmon Pressure,Medium Sea Trout
36757,1,69.936714,19.832184,Zone 5: Arctic (69-71°N),Lubben,Sporadic (0-2 years),Mid-Fjord,False,91.1,Reisa,Zone 4,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
36778,6,66.16405,12.400767,Zone 4: Northern (66-69°N),Havstein Sør,Recurrent (6-8 years),Inner Fjord,False,54.5,Vefsna,Zone 4,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
36797,1,69.986916,19.931633,Zone 5: Arctic (69-71°N),Korsnes,Sporadic (0-2 years),Mid-Fjord,False,93.3,Reisa,Zone 4,80,2,Moderate (50-100km),High Salmon Pressure,Medium Sea Trout
36817,4,67.38345,14.381967,Zone 4: Northern (66-69°N),Kariskjæret,Occasional (3-5 years),Inner Fjord,False,48.3,Beiarvassdraget,Zone 4,75,2,Close to Salmon River (20-50km),High Salmon Pressure,Medium Sea Trout
36877,1,63.819683,8.408817,Zone 3: Mid (63-66°N),Munkskjæra,Sporadic (0-2 years),Mid-Fjord,False,90.2,Orkla,Zone 3,95,3,Moderate (50-100km),Very High Salmon Pressure,High Sea Trout
