Locality_Number,Outbreak_Years,Latitude,Longitude,Zone,Locality_Name,Recurrence_Level,Fjord_Position,Is_Persistent,Distance_to_Port_km,Nearest_Port,Port_Size,Port_Traffic,Distance_to_Lane_km,Nearest_Lane,Lane_Traffic,Vessel_Score,Port_Distance_Category,Lane_Distance_Category,Vessel_Traffic_Level
15659,2,69.907684,21.8331,Zone 5: Arctic (69-71°N),Nøklan,Sporadic (0-2 years),Mid-Fjord,False,56.3,Alta,small,30,32.7,Tromsø-Hammerfest,60,2.4,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
15796,6,59.388035,5.929283,Zone 1: Southern (58-60°N),Borgarliflot,Recurrent (6-8 years),Mid-Fjord,False,35.8,Haugesund,medium,65,38.0,Stavanger-Bergen,100,2.6,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
15860,4,69.23299,17.089382,Zone 5: Arctic (69-71°N),Kvenbukta Vest,Occasional (3-5 years),Inner Fjord,False,53.7,Harstad,medium,50,88.7,Bodø-Tromsø,75,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
15956,0,69.914665,29.487076,Zone 5: Arctic (69-71°N),Storbukt,Sporadic (0-2 years),Mid-Fjord,False,31.1,Kirkenes,medium,40,105.3,Hammerfest-Kirkenes,50,2.0,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
15957,1,70.0645,29.0347,Zone 5: Arctic (69-71°N),Latvika,Sporadic (0-2 years),Mid-Fjord,False,55.0,Kirkenes,medium,40,84.3,Hammerfest-Kirkenes,50,1.5,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
16015,1,69.88975,20.769016,Zone 5: Arctic (69-71°N),Russelva,Sporadic (0-2 years),Mid-Fjord,False,75.6,Tromsø,major,85,36.5,Tromsø-Hammerfest,60,2.0,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
16055,1,70.83325,25.254333,Zone 5: Arctic (69-71°N),Kråkeberget,Sporadic (0-2 years),Mid-Fjord,False,33.0,Honningsvåg,small,20,92.3,Hammerfest-Kirkenes,50,2.0,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
16165,3,67.572815,15.128683,Zone 4: Northern (66-69°N),Tårnvika,Occasional (3-5 years),Inner Fjord,False,43.6,Bodø,major,80,117.8,Bodø-Tromsø,75,1.5,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
16216,2,68.86298,15.092383,Zone 4: Northern (66-69°N),Lønskog,Sporadic (0-2 years),Inner Fjord,False,22.0,Sortland,small,25,79.9,Bodø-Tromsø,75,2.8,Close to Port (20-50km),Far from Lane (>60km),Low Vessel Traffic
16255,0,69.73117,30.415333,Zone 5: Arctic (69-71°N),Skarvfjell,Sporadic (0-2 years),Mid-Fjord,False,16.4,Kirkenes,medium,40,146.0,Hammerfest-Kirkenes,50,3.2,Very Close to Port (<20km),Far from Lane (>60km),Low Vessel Traffic
16736,1,69.95783,20.69315,Zone 5: Arctic (69-71°N),Kåvika,Sporadic (0-2 years),Mid-Fjord,False,76.6,Tromsø,major,85,32.9,Tromsø-Hammerfest,60,2.1,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
16755,5,59.944218,5.434733,Zone 1: Southern (58-60°N),Hageberg,Occasional (3-5 years),Mid-Fjord,False,51.3,Bergen,major,100,33.0,Stavanger-Bergen,100,2.4,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
16939,3,68.410484,15.435433,Zone 4: Northern (66-69°N),Fornes,Occasional (3-5 years),Inner Fjord,False,27.6,Stokmarknes,small,30,52.1,Bodø-Tromsø,75,2.7,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
17015,3,59.730434,5.788733,Zone 1: Southern (58-60°N),Seglberget,Occasional (3-5 years),Mid-Fjord,False,46.0,Haugesund,medium,65,18.6,Stavanger-Bergen,100,3.6,Close to Port (20-50km),Near Lane (10-30km),Low Vessel Traffic
17077,1,69.51037,18.0218,Zone 5: Arctic (69-71°N),Trettevik,Sporadic (0-2 years),Mid-Fjord,False,39.4,Tromsø,major,85,129.6,Bodø-Tromsø,75,1.6,Close to Port (20-50km),Far from Lane (>60km),Minimal Vessel Traffic
17176,3,68.69912,15.978933,Zone 4: Northern (66-69°N),Holandselv,Occasional (3-5 years),Inner Fjord,False,23.5,Sortland,small,25,40.5,Bodø-Tromsø,75,3.2,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
17177,6,61.893116,5.35185,Zone 2: Western (60-63°N),Grunneneset,Recurrent (6-8 years),Mid-Fjord,False,13.3,Måløy,medium,40,53.7,Bergen-Ålesund,90,4.4,Very Close to Port (<20km),Moderate (30-60km),Low Vessel Traffic
17235,7,66.42008,13.018033,Zone 4: Northern (66-69°N),Ørnes,Recurrent (6-8 years),Inner Fjord,False,50.2,Mo i Rana,small,30,122.6,Trondheim-Bodø,80,1.4,Moderate (50-100km),Far from Lane (>60km),Minimal Vessel Traffic
17357,2,59.131584,5.72165,Zone 1: Southern (58-60°N),Rennaren,Sporadic (0-2 years),Mid-Fjord,False,25.8,Stavanger,major,95,59.1,Stavanger-Bergen,100,2.7,Close to Port (20-50km),Moderate (30-60km),Low Vessel Traffic
17495,2,63.04895,8.21635,Zone 3: Mid (63-66°N),Vullum,Sporadic (0-2 years),Mid-Fjord,False,26.7,Kristiansund,medium,60,11.8,Ålesund-Trondheim,85,5.7,Close to Port (20-50km),Near Lane (10-30km),Medium Vessel Traffic
17575,6,59.2522,5.390517,Zone 1: Southern (58-60°N),Tollaksholmen,Recurrent (6-8 years),Mid-Fjord,False,17.3,Haugesund,medium,65,44.7,Stavanger-Bergen,100,3.8,Very Close to Port (<20km),Moderate (30-60km),Low Vessel Traffic
18015,1,59.954018,5.451667,Zone 1: Southern (58-60°N),Hestabyneset,Sporadic (0-2 years),Mid-Fjord,False,50.4,Bergen,major,100,34.0,Stavanger-Bergen,100,2.4,Moderate (50-100km),Moderate (30-60km),Low Vessel Traffic
18117,2,70.27188,21.6898,Zone 5: Arctic (69-71°N),Vassvika,Sporadic (0-2 years),Mid-Fjord,False,74.0,Alta,small,30,18.7,Tromsø-Hammerfest,60,3.2,Moderate (50-100km),Near Lane (10-30km),Low Vessel Traffic
18217,2,59.396633,5.171083,Zone 1: Southern (58-60°N),Kvaløy Øst,Sporadic (0-2 years),Mid-Fjord,False,7.3,Haugesund,medium,65,33.8,Stavanger-Bergen,100,7.5,Very Close to Port (<20km),Moderate (30-60km),Medium Vessel Traffic
18235,2,59.2694,6.193083,Zone 1: Southern (58-60°N),Bastli,Sporadic (0-2 years),Mid-Fjord,False,49.9,Stavanger,major,95,57.8,Stavanger-Bergen,100,1.8,Close to Port (20-50km),Moderate (30-60km),Minimal Vessel Traffic
